Airport,Avg HHI,Min HHI,Max HHI,Trend
AIRPORT COMPARISON - HHI SUMMARY,,,,
Average Market Concentration Across All Seasons,,,,
,,,,
DUS,2750.94,2522.48,3398.46,Increasing Concentration (+14.4%)
FRA,4603.72,4516.16,4663.13,Stable (Â±1.1%)
HAM,2478.69,0.0,3572.57,Increasing Concentration (+146.0%)
MUC,4405.63,3938.98,5072.88,Increasing Concentration (+13.5%)
STR,3157.77,2826.8,3654.43,Increasing Concentration (+17.9%)
SXF,6842.28,6297.81,7412.0,Increasing Concentration (+11.0%)
TXL,3013.49,2515.74,3208.02,Decreasing Concentration (-5.5%)
